MessageType,TransmissionType,SessionID,AircraftID,HexIdent,FlightID,DateGenerated,TimeGenerated,DateLogged,TimeLogged,Callsign,Altitude,GroundSpeed,Track,Latitude,Longitude,VerticalRate,Squawk,Alert,Emergency,SPI,IsOnGround
MSG,3,,,3D1A68,,2025/11/19,13:14:04.713,2025/11/19,13:14:04.713,ICA3D1A68,2843,91.0,279.0,49.22097,9.44422,,,0,0,0,0
MSG,3,,,39E144,,2025/11/19,13:14:04.716,2025/11/19,13:14:04.716,ICA39E144,20338,217.0,82.0,47.70415,-2.35790,,,0,0,0,0
MSG,3,,,407886,,2025/11/19,13:14:04.718,2025/11/19,13:14:04.718,FLR407886,1978,132.0,193.0,51.99730,-0.94700,,,0,0,0,0
MSG,3,,,A0129B,,2025/11/19,13:14:04.721,2025/11/19,13:14:04.721,ICAA0129B,3592,109.0,158.0,27.45288,-81.86002,,,0,0,0,0
MSG,3,,,4B15A2,,20,,,,,,,,,,,,,,,
MSG,3,,,3EC325,,2025/11/19,13:14:04.725,2025/11/19,13:14:04.725,D-KOWB,14152,81.0,254.0,-22.65090,18.62822,,,0,0,0,0
MSG,3,,,34644E,,2025/11/19,13:14:04.727,2025/11/19,13:14:04.727,ICA34644E,16824,353.0,256.0,40.59195,-4.07313,,,0,0,0,0
MSG,3,,,3452C9,,2025/11/19,13:14:04.736,2025/11/19,13:14:04.736,ICA3452C9,4779,268.0,87.,,,,,,,,
MSG,3,,,3D28D1,,2025/11/19,13:14:04.739,2025/11/19,13:14:04.739,ICA3D28D1,9332,173.0,330.0,54.86527,11.96540,,,0,0,0,0
MSG,3,,,440791,,2025/11/19,13:14:04.740,2025/11/19,13:14:04.740,HB-XCM,4616,56.0,303.0,47.82612,16.19948,,,0,0,0,0
MSG,3,,,A1B9AF,,2025/11/19,13:14:04.743,2025/11/19,13:14:04.743,ICAA1B9AF,6526,154.0,344.0,50.87550,9.26493,,,0,0,0,0
MSG,3,,,3D1B5D,,2025/11/19,13:14:04.743,2025/11/19,13:14:04.743,D-EIPP,3875,75.0,191.0,48.42173,8.99972,,,0,0,0,0
MSG,3,,,3D1B5D,,2025/11/19,13:14:04.745,2025/11/19,13:14:04.745,D-EIPP,3878,75.0,191.0,48.42140,8.99962,,,0,0,0,0
MSG,3,,,3FEF8F,,2025/11/19,13:14:05.122,2025/11/19,13:14:05.122,D-MILO,3805,91.0,113.0,47.84338,8.83082,,,0,0,0,0
MSG,3,,,4CAD95,,2025/11/19,13:14:05.124,2025/11/19,13:14:05.124,ICA4CAD95,3182,207.0,250.0,50.95893,4.78430,,,0,0,0,0
MSG,3,,,4CA8E6,,2025/11/19,13:14:05.129,2025/11/19,13:14:05.129,EI-ENT,14448,348.0,12.0,40.85120,-3.34468,,,0,0,0,0
MSG,3,,,4A822A,,2025/11/19,13:14:05.131,2025/11/19,13:14:05.131,102005,10371,324.0,278.0,50.66928,5.80287,,,0,0,0,0
MSG,3,,,39C5C8,,2025/11/19,13:14:05.138,2025/11/19,13:14:05.138,ICA39C5C8,16050,186.0,213.0,41.50015,-1.30678,,,0,0,0,0
MSG,3,,,344216,,2025/11/19,13:14:05.140,2025/11/19,13:14:05.140,EC-LPR,5521,187.0,284.0,28.40950,-16.12035,,,0,0,0,0
MSG,3,,,3452C9,,2025/11/19,13:14:05.142,2025/11/19,13:14:05.142,ICA3452C9,4779,268.0,87.0,51.03167,4.51575,,,0,0,0,0
MSG,3,,,3FFC4A,,2025/11/19,13:14:05.143,2025/11/19,13:14:05.143,D-MOMO,3143,111.0,170.0,48.63057,9.54837,,,0,0,0,0
MSG,3,,,11099E,,2025/11/19,13:14:05.143,2025/11/19,13:14:05.143,Reiner,1365,12.0,94.0,49.00190,9.03587,,,0,0,0,0
MSG,3,,,50071E,,2025/11/19,13:14:05.147,2025/11/19,13:14:05.147,FLR50071E,4315,111.0,337.0,4,,,,,,,
MSG,3,,,3D0515,,2025/11/19,13:14:05.148,2025/11/19,13:14:05.148,FLR3D0515,137,19.0,306.0,52.20720,13.15973,,,0,0,0,0
MSG,3,,,49C3C2,,2025/11/19,13:14:05.150,2025/11/19,13:14:05.150,FLR49C3C2,2050,68.0,273.0,50.46075,13.45943,,,0,0,0,0
MSG,3,,,34838F,,2025/11/19,13:14:05.152,2025/11/19,13:14:05.152,FLR34838F,4629,112.0,34.0,39.43053,-1.00597,,,0,0,0,0
MSG,3,,,2013BF,,2025/11/19,13:14:05.161,2025,,,,,,,,,,,,,
MSG,3,,,48455D,,2025/11/19,13:14:05.162,2025/11/19,13:14:05.162,PH-BGF,37718,480.0,116.0,50.26085,9.22413,,,0,0,0,0
MSG,3,,,400A25,,2025/11/19,13:14:05.163,2025/11/19,13:14:05.163,G-EUUP,17098,355.0,150.0,52.20278,-1.33868,,,0,0,0,0
MSG,3,,,3B75F2,,2025/11/19,13:14:05.164,2025/11/19,13:14:05.164,ICA3B75F2,13442,316.0,156.0,45.97715,-0.39437,,,0,0,0,0
MSG,3,,,440057,,2025/11/19,13:14:05.165,2025/11/19,13:14:05.165,ICA440057,12483,296.0,217.0,45.53023,8.40380,,,0,0,0,0
MSG,3,,,489E28,,2025/11/19,13:14:05.166,2025/11/19,13:14:05.166,ICA489E28,2979,94.0,302.0,49.97620,21.17728,,,0,0,0,0
MSG,3,,,3455D9,,2025/11/19,13:14:05.167,2025/11/19,13:14:05.167,ICA3455D9,17283,377.0,189.0,43.24297,-6.28713,,,0,0,0,0
MSG,3,,,4400FF,,2025/11/19,13:14:05.169,2025/11/19,13:14:05.169,ICA4400FF,17756,368.0,60.0,59.68050,23.00632,,,0,0,0,0
MSG,3,,,440037,,2025/11/19,13:14:05.170,2025/11/19,13:14:05.170,ICA440037,9556,296.0,84.0,48.58953,2.54047,,,0,0,0,0
MSG,3,,,,,,,,,,,,,,,,,,,,
MSG,3,,,4BA1C7,,2025/11/19,13:14:05.172,2025/11/19,13:14:05.172,FLR4BA1C7,656,66.0,139.0,41.03318,29.03040,,,0,0,0,0
MSG,3,,,49D508,,2025/11/19,13:14:05.174,2025/11/19,13:14:05.174,ICA49D508,42314,385.0,216.0,46.09368,10.66592,,,0,0,0,0
MSG,3,,,F40022,,2025/11/19,13:14:05.175,2025/11/19,13:14:05.175,FLRF40022,,,,,,,,,,,
MSG,3,,,48ACAE,,2025/11/19,13:14:05.177,2025/11/19,13:14:05.177,ICA48ACAE,2010,82.0,326.0,51.47008,19.70983,,,0,0,0,0
MSG,3,,,407F4C,,2025/11/19,13:14:05.178,2025/11/19,13:14:05.178,ICA407F4C,6675,244.0,153.0,52.40867,-1.82857,,,0,0,0,0
